13/11/2023, 12:44:14:Reading the CSV file here
13/11/2023, 12:44:14:          Date  Temperature  Humidity
2  2023-01-03           26        62
3  2023-01-04           22        55
4  2023-01-05           27        65
13/11/2023, 13:07:02:          Date  Temperature  Humidity
27  2023-01-28           28        71
28  2023-01-29           25        60
29  2023-01-30           24        59
13/11/2023, 13:07:02:Making a new column named ComfortZone
13/11/2023, 13:07:02:Adding values to ComfortZone
13/11/2023, 13:07:02:          Date  Temperature  Humidity  ComfortZone
0   2023-01-01           25        60       Normal
1   2023-01-02           24        58       Normal
2   2023-01-03           26        62  Comfortable
3   2023-01-04           22        55       Normal
4   2023-01-05           27        65       Normal
5   2023-01-06           23        57       Normal
6   2023-01-07           28        70       Normal
7   2023-01-08           25        63       Normal
8   2023-01-09           24        59       Normal
9   2023-01-10           26        68       Normal
10  2023-01-11           22        54       Normal
11  2023-01-12           27        67       Normal
12  2023-01-13           23        56       Normal
13  2023-01-14           28        72       Normal
14  2023-01-15           25        61       Normal
15  2023-01-16           24        58       Normal
16  2023-01-17           26        64  Comfortable
17  2023-01-18           22        53       Normal
18  2023-01-19           27        66       Normal
19  2023-01-20           23        55       Normal
20  2023-01-21           28        69       Normal
21  2023-01-22           25        62       Normal
22  2023-01-23           24        57       Normal
23  2023-01-24           26        63  Comfortable
24  2023-01-25           22        52       Normal
25  2023-01-26           27        68       Normal
26  2023-01-27           23        54       Normal
27  2023-01-28           28        71       Normal
28  2023-01-29           25        60       Normal
29  2023-01-30           24        59       Normal
13/11/2023, 13:07:02:Grouping DataFrame by month and calculate the average temperature and humidity for each month
13/11/2023, 13:07:02:<pandas.core.groupby.generic.DataFrameGroupBy object at 0x000002BA50921950>
13/11/2023, 13:08:12:Reading the CSV file here
13/11/2023, 13:08:12:          Date  Temperature  Humidity
0   2023-01-01           25        60
1   2023-01-02           24        58
2   2023-01-03           26        62
3   2023-01-04           22        55
4   2023-01-05           27        65
5   2023-01-06           23        57
6   2023-01-07           28        70
7   2023-01-08           25        63
8   2023-01-09           24        59
9   2023-01-10           26        68
10  2023-01-11           22        54
11  2023-01-12           27        67
12  2023-01-13           23        56
13  2023-01-14           28        72
14  2023-01-15           25        61
15  2023-01-16           24        58
16  2023-01-17           26        64
17  2023-01-18           22        53
18  2023-01-19           27        66
19  2023-01-20           23        55
20  2023-01-21           28        69
21  2023-01-22           25        62
22  2023-01-23           24        57
23  2023-01-24           26        63
24  2023-01-25           22        52
25  2023-01-26           27        68
26  2023-01-27           23        54
27  2023-01-28           28        71
28  2023-01-29           25        60
29  2023-01-30           24        59
13/11/2023, 13:08:12:Displaying heads and tails
13/11/2023, 13:08:12:         Date  Temperature  Humidity
0  2023-01-01           25        60
1  2023-01-02           24        58
2  2023-01-03           26        62
3  2023-01-04           22        55
4  2023-01-05           27        65
13/11/2023, 13:08:12:          Date  Temperature  Humidity
27  2023-01-28           28        71
28  2023-01-29           25        60
29  2023-01-30           24        59
13/11/2023, 13:08:12:Making a new column named ComfortZone
13/11/2023, 13:08:12:Adding values to ComfortZone
13/11/2023, 13:08:12:          Date  Temperature  Humidity  ComfortZone
0   2023-01-01           25        60       Normal
1   2023-01-02           24        58       Normal
2   2023-01-03           26        62  Comfortable
3   2023-01-04           22        55       Normal
4   2023-01-05           27        65       Normal
5   2023-01-06           23        57       Normal
6   2023-01-07           28        70       Normal
7   2023-01-08           25        63       Normal
8   2023-01-09           24        59       Normal
9   2023-01-10           26        68       Normal
10  2023-01-11           22        54       Normal
11  2023-01-12           27        67       Normal
12  2023-01-13           23        56       Normal
13  2023-01-14           28        72       Normal
14  2023-01-15           25        61       Normal
15  2023-01-16           24        58       Normal
16  2023-01-17           26        64  Comfortable
17  2023-01-18           22        53       Normal
18  2023-01-19           27        66       Normal
19  2023-01-20           23        55       Normal
20  2023-01-21           28        69       Normal
21  2023-01-22           25        62       Normal
22  2023-01-23           24        57       Normal
23  2023-01-24           26        63  Comfortable
24  2023-01-25           22        52       Normal
25  2023-01-26           27        68       Normal
26  2023-01-27           23        54       Normal
27  2023-01-28           28        71       Normal
28  2023-01-29           25        60       Normal
29  2023-01-30           24        59       Normal
13/11/2023, 13:08:12:Grouping DataFrame by month and calculate the average temperature and humidity for each month
13/11/2023, 13:08:12:<pandas.core.groupby.generic.DataFrameGroupBy object at 0x000001D4C6D06550>
13/11/2023, 13:09:02:Reading the CSV file here
13/11/2023, 13:09:02:          Date  Temperature  Humidity
0   2023-01-01           25        60
1   2023-01-02           24        58
2   2023-01-03           26        62
3   2023-01-04           22        55
4   2023-01-05           27        65
5   2023-01-06           23        57
6   2023-01-07           28        70
7   2023-01-08           25        63
8   2023-01-09           24        59
9   2023-01-10           26        68
10  2023-01-11           22        54
11  2023-01-12           27        67
12  2023-01-13           23        56
13  2023-01-14           28        72
14  2023-01-15           25        61
15  2023-01-16           24        58
16  2023-01-17           26        64
17  2023-01-18           22        53
18  2023-01-19           27        66
19  2023-01-20           23        55
20  2023-01-21           28        69
21  2023-01-22           25        62
22  2023-01-23           24        57
23  2023-01-24           26        63
24  2023-01-25           22        52
25  2023-01-26           27        68
26  2023-01-27           23        54
27  2023-01-28           28        71
28  2023-01-29           25        60
29  2023-01-30           24        59
13/11/2023, 13:09:02:Displaying heads and tails
13/11/2023, 13:09:02:         Date  Temperature  Humidity
0  2023-01-01           25        60
1  2023-01-02           24        58
2  2023-01-03           26        62
3  2023-01-04           22        55
4  2023-01-05           27        65
13/11/2023, 13:09:02:          Date  Temperature  Humidity
27  2023-01-28           28        71
28  2023-01-29           25        60
29  2023-01-30           24        59
13/11/2023, 13:09:02:Making a new column named ComfortZone
13/11/2023, 13:09:02:Adding values to ComfortZone
13/11/2023, 13:09:02:          Date  Temperature  Humidity  ComfortZone
0   2023-01-01           25        60       Normal
1   2023-01-02           24        58       Normal
2   2023-01-03           26        62  Comfortable
3   2023-01-04           22        55       Normal
4   2023-01-05           27        65       Normal
5   2023-01-06           23        57       Normal
6   2023-01-07           28        70       Normal
7   2023-01-08           25        63       Normal
8   2023-01-09           24        59       Normal
9   2023-01-10           26        68       Normal
10  2023-01-11           22        54       Normal
11  2023-01-12           27        67       Normal
12  2023-01-13           23        56       Normal
13  2023-01-14           28        72       Normal
14  2023-01-15           25        61       Normal
15  2023-01-16           24        58       Normal
16  2023-01-17           26        64  Comfortable
17  2023-01-18           22        53       Normal
18  2023-01-19           27        66       Normal
19  2023-01-20           23        55       Normal
20  2023-01-21           28        69       Normal
21  2023-01-22           25        62       Normal
22  2023-01-23           24        57       Normal
23  2023-01-24           26        63  Comfortable
24  2023-01-25           22        52       Normal
25  2023-01-26           27        68       Normal
26  2023-01-27           23        54       Normal
27  2023-01-28           28        71       Normal
28  2023-01-29           25        60       Normal
29  2023-01-30           24        59       Normal
13/11/2023, 13:09:02:Grouping DataFrame by month and calculate the average temperature and humidity for each month
13/11/2023, 13:10:15:Reading the CSV file here
13/11/2023, 13:10:15:          Date  Temperature  Humidity
0   2023-01-01           25        60
1   2023-01-02           24        58
2   2023-01-03           26        62
3   2023-01-04           22        55
4   2023-01-05           27        65
5   2023-01-06           23        57
6   2023-01-07           28        70
7   2023-01-08           25        63
8   2023-01-09           24        59
9   2023-01-10           26        68
10  2023-01-11           22        54
11  2023-01-12           27        67
12  2023-01-13           23        56
13  2023-01-14           28        72
14  2023-01-15           25        61
15  2023-01-16           24        58
16  2023-01-17           26        64
17  2023-01-18           22        53
18  2023-01-19           27        66
19  2023-01-20           23        55
20  2023-01-21           28        69
21  2023-01-22           25        62
22  2023-01-23           24        57
23  2023-01-24           26        63
24  2023-01-25           22        52
25  2023-01-26           27        68
26  2023-01-27           23        54
27  2023-01-28           28        71
28  2023-01-29           25        60
29  2023-01-30           24        59
13/11/2023, 13:10:15:Displaying heads and tails
13/11/2023, 13:10:15:         Date  Temperature  Humidity
0  2023-01-01           25        60
1  2023-01-02           24        58
2  2023-01-03           26        62
3  2023-01-04           22        55
4  2023-01-05           27        65
13/11/2023, 13:10:15:          Date  Temperature  Humidity
27  2023-01-28           28        71
28  2023-01-29           25        60
29  2023-01-30           24        59
13/11/2023, 13:10:15:Making a new column named ComfortZone
13/11/2023, 13:10:15:Adding values to ComfortZone
13/11/2023, 13:10:15:          Date  Temperature  Humidity  ComfortZone
0   2023-01-01           25        60       Normal
1   2023-01-02           24        58       Normal
2   2023-01-03           26        62  Comfortable
3   2023-01-04           22        55       Normal
4   2023-01-05           27        65       Normal
5   2023-01-06           23        57       Normal
6   2023-01-07           28        70       Normal
7   2023-01-08           25        63       Normal
8   2023-01-09           24        59       Normal
9   2023-01-10           26        68       Normal
10  2023-01-11           22        54       Normal
11  2023-01-12           27        67       Normal
12  2023-01-13           23        56       Normal
13  2023-01-14           28        72       Normal
14  2023-01-15           25        61       Normal
15  2023-01-16           24        58       Normal
16  2023-01-17           26        64  Comfortable
17  2023-01-18           22        53       Normal
18  2023-01-19           27        66       Normal
19  2023-01-20           23        55       Normal
20  2023-01-21           28        69       Normal
21  2023-01-22           25        62       Normal
22  2023-01-23           24        57       Normal
23  2023-01-24           26        63  Comfortable
24  2023-01-25           22        52       Normal
25  2023-01-26           27        68       Normal
26  2023-01-27           23        54       Normal
27  2023-01-28           28        71       Normal
28  2023-01-29           25        60       Normal
29  2023-01-30           24        59       Normal
13/11/2023, 13:10:15:Grouping DataFrame by month and calculate the average temperature and humidity for each month
13/11/2023, 13:10:15:<pandas.core.groupby.generic.DataFrameGroupBy object at 0x00000272F1766690>
13/11/2023, 13:10:15:Adding new column Average and putting vales of avgTempByMonth into it
13/11/2023, 13:10:15:          Date  Temperature  Humidity  ComfortZone  Average
0   2023-01-01           25        60       Normal      NaN
1   2023-01-02           24        58       Normal      NaN
2   2023-01-03           26        62  Comfortable      NaN
3   2023-01-04           22        55       Normal      NaN
4   2023-01-05           27        65       Normal      NaN
5   2023-01-06           23        57       Normal      NaN
6   2023-01-07           28        70       Normal      NaN
7   2023-01-08           25        63       Normal      NaN
8   2023-01-09           24        59       Normal      NaN
9   2023-01-10           26        68       Normal      NaN
10  2023-01-11           22        54       Normal      NaN
11  2023-01-12           27        67       Normal      NaN
12  2023-01-13           23        56       Normal      NaN
13  2023-01-14           28        72       Normal      NaN
14  2023-01-15           25        61       Normal      NaN
15  2023-01-16           24        58       Normal      NaN
16  2023-01-17           26        64  Comfortable      NaN
17  2023-01-18           22        53       Normal      NaN
18  2023-01-19           27        66       Normal      NaN
19  2023-01-20           23        55       Normal      NaN
20  2023-01-21           28        69       Normal      NaN
21  2023-01-22           25        62       Normal      NaN
22  2023-01-23           24        57       Normal      NaN
23  2023-01-24           26        63  Comfortable      NaN
24  2023-01-25           22        52       Normal      NaN
25  2023-01-26           27        68       Normal      NaN
26  2023-01-27           23        54       Normal      NaN
27  2023-01-28           28        71       Normal      NaN
28  2023-01-29           25        60       Normal      NaN
29  2023-01-30           24        59       Normal      NaN
13/11/2023, 13:13:02:Reading the CSV file here
13/11/2023, 13:13:02:          Date  Temperature  Humidity
0   2023-01-01           25        60
1   2023-01-02           24        58
2   2023-01-03           26        62
3   2023-01-04           22        55
4   2023-01-05           27        65
5   2023-01-06           23        57
6   2023-01-07           28        70
7   2023-01-08           25        63
8   2023-01-09           24        59
9   2023-01-10           26        68
10  2023-01-11           22        54
11  2023-01-12           27        67
12  2023-01-13           23        56
13  2023-01-14           28        72
14  2023-01-15           25        61
15  2023-01-16           24        58
16  2023-01-17           26        64
17  2023-01-18           22        53
18  2023-01-19           27        66
19  2023-01-20           23        55
20  2023-01-21           28        69
21  2023-01-22           25        62
22  2023-01-23           24        57
23  2023-01-24           26        63
24  2023-01-25           22        52
25  2023-01-26           27        68
26  2023-01-27           23        54
27  2023-01-28           28        71
28  2023-01-29           25        60
29  2023-01-30           24        59
13/11/2023, 13:13:02:Displaying heads and tails
13/11/2023, 13:13:02:         Date  Temperature  Humidity
0  2023-01-01           25        60
1  2023-01-02           24        58
2  2023-01-03           26        62
3  2023-01-04           22        55
4  2023-01-05           27        65
13/11/2023, 13:13:02:          Date  Temperature  Humidity
27  2023-01-28           28        71
28  2023-01-29           25        60
29  2023-01-30           24        59
13/11/2023, 13:13:02:Making a new column named ComfortZone
13/11/2023, 13:13:02:Adding values to ComfortZone
13/11/2023, 13:13:02:          Date  Temperature  Humidity  ComfortZone
0   2023-01-01           25        60       Normal
1   2023-01-02           24        58       Normal
2   2023-01-03           26        62  Comfortable
3   2023-01-04           22        55       Normal
4   2023-01-05           27        65       Normal
5   2023-01-06           23        57       Normal
6   2023-01-07           28        70       Normal
7   2023-01-08           25        63       Normal
8   2023-01-09           24        59       Normal
9   2023-01-10           26        68       Normal
10  2023-01-11           22        54       Normal
11  2023-01-12           27        67       Normal
12  2023-01-13           23        56       Normal
13  2023-01-14           28        72       Normal
14  2023-01-15           25        61       Normal
15  2023-01-16           24        58       Normal
16  2023-01-17           26        64  Comfortable
17  2023-01-18           22        53       Normal
18  2023-01-19           27        66       Normal
19  2023-01-20           23        55       Normal
20  2023-01-21           28        69       Normal
21  2023-01-22           25        62       Normal
22  2023-01-23           24        57       Normal
23  2023-01-24           26        63  Comfortable
24  2023-01-25           22        52       Normal
25  2023-01-26           27        68       Normal
26  2023-01-27           23        54       Normal
27  2023-01-28           28        71       Normal
28  2023-01-29           25        60       Normal
29  2023-01-30           24        59       Normal
13/11/2023, 13:13:02:Grouping DataFrame by month and calculate the average temperature and humidity for each month
13/11/2023, 13:13:54:Reading the CSV file here
13/11/2023, 13:13:54:          Date  Temperature  Humidity
0   2023-01-01           25        60
1   2023-01-02           24        58
2   2023-01-03           26        62
3   2023-01-04           22        55
4   2023-01-05           27        65
5   2023-01-06           23        57
6   2023-01-07           28        70
7   2023-01-08           25        63
8   2023-01-09           24        59
9   2023-01-10           26        68
10  2023-01-11           22        54
11  2023-01-12           27        67
12  2023-01-13           23        56
13  2023-01-14           28        72
14  2023-01-15           25        61
15  2023-01-16           24        58
16  2023-01-17           26        64
17  2023-01-18           22        53
18  2023-01-19           27        66
19  2023-01-20           23        55
20  2023-01-21           28        69
21  2023-01-22           25        62
22  2023-01-23           24        57
23  2023-01-24           26        63
24  2023-01-25           22        52
25  2023-01-26           27        68
26  2023-01-27           23        54
27  2023-01-28           28        71
28  2023-01-29           25        60
29  2023-01-30           24        59
13/11/2023, 13:13:54:Displaying heads and tails
13/11/2023, 13:13:54:         Date  Temperature  Humidity
0  2023-01-01           25        60
1  2023-01-02           24        58
2  2023-01-03           26        62
3  2023-01-04           22        55
4  2023-01-05           27        65
13/11/2023, 13:13:54:          Date  Temperature  Humidity
27  2023-01-28           28        71
28  2023-01-29           25        60
29  2023-01-30           24        59
13/11/2023, 13:13:54:Making a new column named ComfortZone
13/11/2023, 13:13:54:Adding values to ComfortZone
13/11/2023, 13:13:54:          Date  Temperature  Humidity  ComfortZone
0   2023-01-01           25        60       Normal
1   2023-01-02           24        58       Normal
2   2023-01-03           26        62  Comfortable
3   2023-01-04           22        55       Normal
4   2023-01-05           27        65       Normal
5   2023-01-06           23        57       Normal
6   2023-01-07           28        70       Normal
7   2023-01-08           25        63       Normal
8   2023-01-09           24        59       Normal
9   2023-01-10           26        68       Normal
10  2023-01-11           22        54       Normal
11  2023-01-12           27        67       Normal
12  2023-01-13           23        56       Normal
13  2023-01-14           28        72       Normal
14  2023-01-15           25        61       Normal
15  2023-01-16           24        58       Normal
16  2023-01-17           26        64  Comfortable
17  2023-01-18           22        53       Normal
18  2023-01-19           27        66       Normal
19  2023-01-20           23        55       Normal
20  2023-01-21           28        69       Normal
21  2023-01-22           25        62       Normal
22  2023-01-23           24        57       Normal
23  2023-01-24           26        63  Comfortable
24  2023-01-25           22        52       Normal
25  2023-01-26           27        68       Normal
26  2023-01-27           23        54       Normal
27  2023-01-28           28        71       Normal
28  2023-01-29           25        60       Normal
29  2023-01-30           24        59       Normal
13/11/2023, 13:13:54:Grouping DataFrame by month and calculate the average temperature and humidity for each month
13/11/2023, 13:13:54:<pandas.core.groupby.generic.DataFrameGroupBy object at 0x00000187D8601CD0>
13/11/2023, 13:13:54:Adding new column Average and putting vales of avgTempByMonth into it
13/11/2023, 13:13:54:          Date  Temperature  Humidity  ComfortZone  Average
0   2023-01-01           25        60       Normal      NaN
1   2023-01-02           24        58       Normal      NaN
2   2023-01-03           26        62  Comfortable      NaN
3   2023-01-04           22        55       Normal      NaN
4   2023-01-05           27        65       Normal      NaN
5   2023-01-06           23        57       Normal      NaN
6   2023-01-07           28        70       Normal      NaN
7   2023-01-08           25        63       Normal      NaN
8   2023-01-09           24        59       Normal      NaN
9   2023-01-10           26        68       Normal      NaN
10  2023-01-11           22        54       Normal      NaN
11  2023-01-12           27        67       Normal      NaN
12  2023-01-13           23        56       Normal      NaN
13  2023-01-14           28        72       Normal      NaN
14  2023-01-15           25        61       Normal      NaN
15  2023-01-16           24        58       Normal      NaN
16  2023-01-17           26        64  Comfortable      NaN
17  2023-01-18           22        53       Normal      NaN
18  2023-01-19           27        66       Normal      NaN
19  2023-01-20           23        55       Normal      NaN
20  2023-01-21           28        69       Normal      NaN
21  2023-01-22           25        62       Normal      NaN
22  2023-01-23           24        57       Normal      NaN
23  2023-01-24           26        63  Comfortable      NaN
24  2023-01-25           22        52       Normal      NaN
25  2023-01-26           27        68       Normal      NaN
26  2023-01-27           23        54       Normal      NaN
27  2023-01-28           28        71       Normal      NaN
28  2023-01-29           25        60       Normal      NaN
29  2023-01-30           24        59       Normal      NaN
13/11/2023, 13:14:09:Reading the CSV file here
13/11/2023, 13:14:09:          Date  Temperature  Humidity
0   2023-01-01           25        60
1   2023-01-02           24        58
2   2023-01-03           26        62
3   2023-01-04           22        55
4   2023-01-05           27        65
5   2023-01-06           23        57
6   2023-01-07           28        70
7   2023-01-08           25        63
8   2023-01-09           24        59
9   2023-01-10           26        68
10  2023-01-11           22        54
11  2023-01-12           27        67
12  2023-01-13           23        56
13  2023-01-14           28        72
14  2023-01-15           25        61
15  2023-01-16           24        58
16  2023-01-17           26        64
17  2023-01-18           22        53
18  2023-01-19           27        66
19  2023-01-20           23        55
20  2023-01-21           28        69
21  2023-01-22           25        62
22  2023-01-23           24        57
23  2023-01-24           26        63
24  2023-01-25           22        52
25  2023-01-26           27        68
26  2023-01-27           23        54
27  2023-01-28           28        71
28  2023-01-29           25        60
29  2023-01-30           24        59
13/11/2023, 13:14:09:Displaying heads and tails
13/11/2023, 13:14:09:         Date  Temperature  Humidity
0  2023-01-01           25        60
1  2023-01-02           24        58
2  2023-01-03           26        62
3  2023-01-04           22        55
4  2023-01-05           27        65
13/11/2023, 13:14:09:          Date  Temperature  Humidity
27  2023-01-28           28        71
28  2023-01-29           25        60
29  2023-01-30           24        59
13/11/2023, 13:14:09:Making a new column named ComfortZone
13/11/2023, 13:14:09:Adding values to ComfortZone
13/11/2023, 13:14:09:          Date  Temperature  Humidity  ComfortZone
0   2023-01-01           25        60       Normal
1   2023-01-02           24        58       Normal
2   2023-01-03           26        62  Comfortable
3   2023-01-04           22        55       Normal
4   2023-01-05           27        65       Normal
5   2023-01-06           23        57       Normal
6   2023-01-07           28        70       Normal
7   2023-01-08           25        63       Normal
8   2023-01-09           24        59       Normal
9   2023-01-10           26        68       Normal
10  2023-01-11           22        54       Normal
11  2023-01-12           27        67       Normal
12  2023-01-13           23        56       Normal
13  2023-01-14           28        72       Normal
14  2023-01-15           25        61       Normal
15  2023-01-16           24        58       Normal
16  2023-01-17           26        64  Comfortable
17  2023-01-18           22        53       Normal
18  2023-01-19           27        66       Normal
19  2023-01-20           23        55       Normal
20  2023-01-21           28        69       Normal
21  2023-01-22           25        62       Normal
22  2023-01-23           24        57       Normal
23  2023-01-24           26        63  Comfortable
24  2023-01-25           22        52       Normal
25  2023-01-26           27        68       Normal
26  2023-01-27           23        54       Normal
27  2023-01-28           28        71       Normal
28  2023-01-29           25        60       Normal
29  2023-01-30           24        59       Normal
13/11/2023, 13:14:09:Grouping DataFrame by month and calculate the average temperature and humidity for each month
13/11/2023, 13:14:09:<pandas.core.groupby.generic.DataFrameGroupBy object at 0x0000014A662F2710>
13/11/2023, 13:14:09:Adding new column Average and putting vales of avgTempByMonth into it
13/11/2023, 13:14:09:          Date  Temperature  Humidity  ComfortZone  Average
0   2023-01-01           25        60       Normal      NaN
1   2023-01-02           24        58       Normal      NaN
2   2023-01-03           26        62  Comfortable      NaN
3   2023-01-04           22        55       Normal      NaN
4   2023-01-05           27        65       Normal      NaN
5   2023-01-06           23        57       Normal      NaN
6   2023-01-07           28        70       Normal      NaN
7   2023-01-08           25        63       Normal      NaN
8   2023-01-09           24        59       Normal      NaN
9   2023-01-10           26        68       Normal      NaN
10  2023-01-11           22        54       Normal      NaN
11  2023-01-12           27        67       Normal      NaN
12  2023-01-13           23        56       Normal      NaN
13  2023-01-14           28        72       Normal      NaN
14  2023-01-15           25        61       Normal      NaN
15  2023-01-16           24        58       Normal      NaN
16  2023-01-17           26        64  Comfortable      NaN
17  2023-01-18           22        53       Normal      NaN
18  2023-01-19           27        66       Normal      NaN
19  2023-01-20           23        55       Normal      NaN
20  2023-01-21           28        69       Normal      NaN
21  2023-01-22           25        62       Normal      NaN
22  2023-01-23           24        57       Normal      NaN
23  2023-01-24           26        63  Comfortable      NaN
24  2023-01-25           22        52       Normal      NaN
25  2023-01-26           27        68       Normal      NaN
26  2023-01-27           23        54       Normal      NaN
27  2023-01-28           28        71       Normal      NaN
28  2023-01-29           25        60       Normal      NaN
29  2023-01-30           24        59       Normal      NaN
13/11/2023, 13:21:11:Reading the CSV file here
13/11/2023, 13:21:11:          Date  Temperature  Humidity
0   2023-01-01           25        60
1   2023-01-02           24        58
2   2023-01-03           26        62
3   2023-01-04           22        55
4   2023-01-05           27        65
5   2023-01-06           23        57
6   2023-01-07           28        70
7   2023-01-08           25        63
8   2023-01-09           24        59
9   2023-01-10           26        68
10  2023-01-11           22        54
11  2023-01-12           27        67
12  2023-01-13           23        56
13  2023-01-14           28        72
14  2023-01-15           25        61
15  2023-01-16           24        58
16  2023-01-17           26        64
17  2023-01-18           22        53
18  2023-01-19           27        66
19  2023-01-20           23        55
20  2023-01-21           28        69
21  2023-01-22           25        62
22  2023-01-23           24        57
23  2023-01-24           26        63
24  2023-01-25           22        52
25  2023-01-26           27        68
26  2023-01-27           23        54
27  2023-01-28           28        71
28  2023-01-29           25        60
29  2023-01-30           24        59
13/11/2023, 13:21:11:Displaying heads and tails
13/11/2023, 13:21:11:         Date  Temperature  Humidity
0  2023-01-01           25        60
1  2023-01-02           24        58
2  2023-01-03           26        62
3  2023-01-04           22        55
4  2023-01-05           27        65
13/11/2023, 13:21:11:          Date  Temperature  Humidity
27  2023-01-28           28        71
28  2023-01-29           25        60
29  2023-01-30           24        59
13/11/2023, 13:21:11:Making a new column named ComfortZone
13/11/2023, 13:21:11:Adding values to ComfortZone
13/11/2023, 13:21:11:          Date  Temperature  Humidity  ComfortZone
0   2023-01-01           25        60       Normal
1   2023-01-02           24        58       Normal
2   2023-01-03           26        62  Comfortable
3   2023-01-04           22        55       Normal
4   2023-01-05           27        65       Normal
5   2023-01-06           23        57       Normal
6   2023-01-07           28        70       Normal
7   2023-01-08           25        63       Normal
8   2023-01-09           24        59       Normal
9   2023-01-10           26        68       Normal
10  2023-01-11           22        54       Normal
11  2023-01-12           27        67       Normal
12  2023-01-13           23        56       Normal
13  2023-01-14           28        72       Normal
14  2023-01-15           25        61       Normal
15  2023-01-16           24        58       Normal
16  2023-01-17           26        64  Comfortable
17  2023-01-18           22        53       Normal
18  2023-01-19           27        66       Normal
19  2023-01-20           23        55       Normal
20  2023-01-21           28        69       Normal
21  2023-01-22           25        62       Normal
22  2023-01-23           24        57       Normal
23  2023-01-24           26        63  Comfortable
24  2023-01-25           22        52       Normal
25  2023-01-26           27        68       Normal
26  2023-01-27           23        54       Normal
27  2023-01-28           28        71       Normal
28  2023-01-29           25        60       Normal
29  2023-01-30           24        59       Normal
13/11/2023, 13:21:11:Grouping DataFrame by month and calculate the average temperature and humidity for each month
13/11/2023, 13:21:11:<pandas.core.groupby.generic.DataFrameGroupBy object at 0x000001A79FD7F0D0>
13/11/2023, 13:21:11:Adding new column Average and putting vales of avgTempByMonth into it
13/11/2023, 13:21:11:          Date  Temperature  Humidity  ComfortZone  Average
0   2023-01-01           25        60       Normal      NaN
1   2023-01-02           24        58       Normal      NaN
2   2023-01-03           26        62  Comfortable      NaN
3   2023-01-04           22        55       Normal      NaN
4   2023-01-05           27        65       Normal      NaN
5   2023-01-06           23        57       Normal      NaN
6   2023-01-07           28        70       Normal      NaN
7   2023-01-08           25        63       Normal      NaN
8   2023-01-09           24        59       Normal      NaN
9   2023-01-10           26        68       Normal      NaN
10  2023-01-11           22        54       Normal      NaN
11  2023-01-12           27        67       Normal      NaN
12  2023-01-13           23        56       Normal      NaN
13  2023-01-14           28        72       Normal      NaN
14  2023-01-15           25        61       Normal      NaN
15  2023-01-16           24        58       Normal      NaN
16  2023-01-17           26        64  Comfortable      NaN
17  2023-01-18           22        53       Normal      NaN
18  2023-01-19           27        66       Normal      NaN
19  2023-01-20           23        55       Normal      NaN
20  2023-01-21           28        69       Normal      NaN
21  2023-01-22           25        62       Normal      NaN
22  2023-01-23           24        57       Normal      NaN
23  2023-01-24           26        63  Comfortable      NaN
24  2023-01-25           22        52       Normal      NaN
25  2023-01-26           27        68       Normal      NaN
26  2023-01-27           23        54       Normal      NaN
27  2023-01-28           28        71       Normal      NaN
28  2023-01-29           25        60       Normal      NaN
29  2023-01-30           24        59       Normal      NaN
13/11/2023, 13:21:11:Dat with highest temp
13/11/2023, 13:21:11:6
13/11/2023, 13:21:11:28
13/11/2023, 13:21:11:Dat with lowest temp
13/11/2023, 13:21:11:6
13/11/2023, 13:21:11:28
13/11/2023, 13:21:11:Creating a line chart showing Temperature vs Date
13/11/2023, 13:24:58:Reading the CSV file here
13/11/2023, 13:24:58:          Date  Temperature  Humidity
0   2023-01-01           25        60
1   2023-01-02           24        58
2   2023-01-03           26        62
3   2023-01-04           22        55
4   2023-01-05           27        65
5   2023-01-06           23        57
6   2023-01-07           28        70
7   2023-01-08           25        63
8   2023-01-09           24        59
9   2023-01-10           26        68
10  2023-01-11           22        54
11  2023-01-12           27        67
12  2023-01-13           23        56
13  2023-01-14           28        72
14  2023-01-15           25        61
15  2023-01-16           24        58
16  2023-01-17           26        64
17  2023-01-18           22        53
18  2023-01-19           27        66
19  2023-01-20           23        55
20  2023-01-21           28        69
21  2023-01-22           25        62
22  2023-01-23           24        57
23  2023-01-24           26        63
24  2023-01-25           22        52
25  2023-01-26           27        68
26  2023-01-27           23        54
27  2023-01-28           28        71
28  2023-01-29           25        60
29  2023-01-30           24        59
13/11/2023, 13:24:58:Displaying heads and tails
13/11/2023, 13:24:58:         Date  Temperature  Humidity
0  2023-01-01           25        60
1  2023-01-02           24        58
2  2023-01-03           26        62
3  2023-01-04           22        55
4  2023-01-05           27        65
13/11/2023, 13:24:58:          Date  Temperature  Humidity
27  2023-01-28           28        71
28  2023-01-29           25        60
29  2023-01-30           24        59
13/11/2023, 13:24:58:Making a new column named ComfortZone
13/11/2023, 13:24:58:Adding values to ComfortZone
13/11/2023, 13:24:58:          Date  Temperature  Humidity  ComfortZone
0   2023-01-01           25        60       Normal
1   2023-01-02           24        58       Normal
2   2023-01-03           26        62  Comfortable
3   2023-01-04           22        55       Normal
4   2023-01-05           27        65       Normal
5   2023-01-06           23        57       Normal
6   2023-01-07           28        70       Normal
7   2023-01-08           25        63       Normal
8   2023-01-09           24        59       Normal
9   2023-01-10           26        68       Normal
10  2023-01-11           22        54       Normal
11  2023-01-12           27        67       Normal
12  2023-01-13           23        56       Normal
13  2023-01-14           28        72       Normal
14  2023-01-15           25        61       Normal
